اسم الفيديو;رابط الفيديو
قناتنا على يوتيوب;https://youtube.com/@hjy.co8?si=BPr6ch9djffiLMV5
شرح عام عن التحكم اللاسلكي لدينا;https://www.facebook.com/share/v/1Ehq5YXfwU/
قياس امبير للمشتركين مصعد وفتح بالريموت;https://youtube.com/shorts/neOFhIQ7I50?feature=share
تحكم بالمصعد عن طريق واي فاي (فيسبوك);https://www.facebook.com/share/v/1B54tJZTxU/
تحكم بالمصعد عن طريق واي فاي (يوتيوب);https://youtube.com/shorts/UmUqYX2FpZo?si=MaxXj4j4e9Nb7HSr
تحكم واي فاي بأي مكان بالعالم من خلال التيلغرام;https://www.facebook.com/share/v/1Nr4ojZdde/
تحكم تيلغرام واي فاي وريموت مزدوج;https://www.facebook.com/share/r/16Z1x87C9V/
تحكم وايفاي مؤقت زمني تكراري وتايمر احترافي;https://www.facebook.com/share/r/1BqARpGgG4/
نظام ارسال تنبيهات لحالة معينة وايفاي عالمي;https://youtube.com/shorts/8keAp-TxH7I?feature=share
تحكم 16 امر وايفاي;https://www.facebook.com/share/r/16j6Ayi7X8/
دفع اولاين عبر شام كاش;https://youtu.be/q9G_ieh-BH4
نظام بديل PLC لخط انتاج + مراقبة وايفاي وشاشة;https://youtu.be/bZj2Y5kc3lg
نظام غسالة صناعية (برمجة حسب الطلب);https://youtu.be/9othlVmXerE
تحكم 6 أوامر;https://youtube.com/shorts/MBJme3Vsjjk?feature=share
فتح باب بناية خلال ريموت;https://youtube.com/shorts/aWwvMmHoEMo?feature=share
شرح طريقة تركيب منتج فتح باب البناية;https://youtube.com/shorts/ONQ9cXHxHgg?feature=share
تابلو إقلاع مولدة خلال ريموت (اتوماتيك);https://youtube.com/shorts/EcqcGHieoDI?feature=share
تحكم حقيقي بالوقت الفعلي;https://youtube.com/shorts/kkaJQA6FJnA?feature=share
جميع أشكال التحكم التي لدينا;https://youtu.be/zMpgTZ-DmRw
تحكم أمرين مع ميزة زر تشغيل + زر إيقاف;https://youtube.com/shorts/8Vz_mO0wJnA?si=qwNXXfBTEqMzU5ih
تغيير بطارية الريموت;https://youtu.be/1Psmi_kmK34?si=waeaC8IDXLLov6kU
نسخ اشارة وحذف الكود بسهولة وعمل عدد لا نهائي من ريموتات;https://youtu.be/ZqbUwxFPyf8?si=8IZ7950mN2iiLYA8
فيديو اضافي (مثال);https://youtube.com/shorts/VScqHP8HR5k?feature=share
تقييم جميل للريموت;https://www.facebook.com/share/v/1Ehq5YXfwU/
تحكم ريموت مع عكس قطبية (للأبجور/اغلاق المحل);https://youtube.com/shorts/VScqHP8HR5k?feature=share
نظام ذكي للمصاعد (تقسيم نسبة استهلاك);https://youtube.com/shorts/neOFhIQ7I50?feature=share
نظام قياس حرارة وايفاي عالمي مع انذار وتنبيه;https://www.facebook.com/share/r/14UYEoojDfi/
إنذار وايفاي عالمي (بوت تيلغرام);https://www.facebook.com/share/p/186xQaPsJN/
نظام عد بالليزر للبضائع;https://youtube.com/shorts/Yt62KR9_BK4?feature=share
نظام عد بالامواج فوق صوتية;https://youtube.com/shorts/8_-8QoggBeE?feature=share
